City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kodiak,57.79,-152.4072,40.51,93,75,6.91,US,1696232513
1,callao,-12.0667,-77.15,66.72,82,100,13.8,PE,1696232513
2,vilyuchinsk,52.9306,158.4028,47.93,94,100,17.72,RU,1696232513
3,adamstown,-25.066,-130.1015,68.63,78,30,24.29,PN,1696232513
4,along,28.1667,94.7667,82.47,89,78,1.81,IN,1696232514
5,geraldton,-28.7667,114.6,68.41,45,40,19.57,AU,1696232514
6,iqaluit,63.7506,-68.5145,37.13,86,100,6.91,CA,1696232514
7,waitangi,-43.9535,-176.5597,55.81,89,100,8.99,NZ,1696232514
8,puerto natales,-51.7236,-72.4875,30.78,91,63,4.45,CL,1696232514
9,edinburgh of the seven seas,-37.0676,-12.3116,49.89,65,90,25.14,SH,1696232514
10,tete,-16.1564,33.5867,80.69,61,75,13.8,MZ,1696232514
11,port lincoln,-34.7333,135.8667,73.45,50,27,6.35,AU,1696232514
12,badger,64.8,-147.5333,38.35,92,100,6.91,US,1696232514
13,bandar-e genaveh,29.5791,50.517,95.02,36,1,18.88,IR,1696232515
14,blackmans bay,-43.0167,147.3167,64.72,32,0,11.1,AU,1696232515
15,northam,51.0333,-4.2167,63.66,99,100,1.95,GB,1696232515
16,whitehorse,60.7161,-135.0538,43.57,82,75,12.66,CA,1696232515
17,skovorodino,53.9833,123.9167,54.5,47,58,3.44,RU,1696232515
18,utrik,11.2278,169.8474,83.26,79,76,10.49,MH,1696232515
19,jalasjarvi,62.5,22.75,46.36,78,100,2.48,FI,1696232515
20,arraias,-12.9288,-46.9437,77.32,30,25,1.32,BR,1696232516
21,grytviken,-54.2811,-36.5092,37.58,86,89,13.33,GS,1696232516
22,tulsipur,28.131,82.2973,76.48,88,100,2.89,NP,1696232516
23,catumbela,-12.4314,13.5472,75.78,75,15,4.76,AO,1696232516
24,igarka,67.4667,86.5833,33.53,71,100,15.52,RU,1696232516
25,bethel,41.3712,-73.414,63.93,86,0,0.0,US,1696232429
26,olonkinbyen,70.9221,-8.7187,33.28,98,100,17.81,SJ,1696232516
27,acapulco de juarez,16.8634,-99.8901,80.42,78,100,6.91,MX,1696232516
28,ushuaia,-54.8,-68.3,33.46,69,0,13.8,AR,1696232429
29,morehead city,34.7229,-76.726,67.98,90,0,5.75,US,1696232517
30,anadyr,64.75,177.4833,32.5,69,0,2.24,RU,1696232517
31,qaqortoq,60.7167,-46.0333,35.91,69,100,5.14,GL,1696232517
